Treinamento iniciado em 2025-05-22 12:54:41.406918
Episódio 0: Recompensa=-27.60, Passos=43, Epsilon=0.990
Episódio 1: Recompensa=-520.00, Passos=150, Epsilon=0.980
Episódio 2: Recompensa=-154.40, Passos=89, Epsilon=0.970
Episódio 3: Recompensa=-164.80, Passos=141, Epsilon=0.961
Episódio 4: Recompensa=-29.00, Passos=50, Epsilon=0.951
Episódio 5: Recompensa=-294.60, Passos=150, Epsilon=0.941
Episódio 6: Recompensa=-107.80, Passos=101, Epsilon=0.932
Episódio 7: Recompensa=-225.40, Passos=101, Epsilon=0.923
Episódio 8: Recompensa=-196.60, Passos=150, Epsilon=0.914
Episódio 9: Recompensa=-101.40, Passos=69, Epsilon=0.904
Episódio 10: Recompensa=-146.40, Passos=98, Epsilon=0.895
Episódio 11: Recompensa=-227.40, Passos=111, Epsilon=0.886
Episódio 12: Recompensa=12.20, Passos=40, Epsilon=0.878
Episódio 13: Recompensa=-275.00, Passos=150, Epsilon=0.869
Episódio 14: Recompensa=5.20, Passos=26, Epsilon=0.860
Episódio 15: Recompensa=-80.80, Passos=64, Epsilon=0.851
Episódio 16: Recompensa=-86.00, Passos=90, Epsilon=0.843
Episódio 17: Recompensa=-30.20, Passos=56, Epsilon=0.835
Episódio 18: Recompensa=7.40, Passos=15, Epsilon=0.826
Episódio 19: Recompensa=-56.60, Passos=41, Epsilon=0.818
Episódio 20: Recompensa=-22.60, Passos=18, Epsilon=0.810
Episódio 21: Recompensa=-1.00, Passos=57, Epsilon=0.802
Episódio 22: Recompensa=-6.80, Passos=37, Epsilon=0.794
Episódio 23: Recompensa=-41.80, Passos=65, Epsilon=0.786
Episódio 24: Recompensa=-33.00, Passos=21, Epsilon=0.778
Episódio 25: Recompensa=-155.40, Passos=94, Epsilon=0.770
Episódio 26: Recompensa=15.20, Passos=25, Epsilon=0.762
Episódio 27: Recompensa=-14.20, Passos=25, Epsilon=0.755
Episódio 28: Recompensa=1.20, Passos=46, Epsilon=0.747
Episódio 29: Recompensa=-3.20, Passos=19, Epsilon=0.740
Episódio 30: Recompensa=-89.00, Passos=56, Epsilon=0.732
Episódio 31: Recompensa=-60.80, Passos=62, Epsilon=0.725
Episódio 32: Recompensa=15.40, Passos=24, Epsilon=0.718
Episódio 33: Recompensa=6.00, Passos=22, Epsilon=0.711
Episódio 34: Recompensa=16.60, Passos=18, Epsilon=0.703
Episódio 35: Recompensa=-24.40, Passos=27, Epsilon=0.696
Episódio 36: Recompensa=-109.60, Passos=61, Epsilon=0.689
Episódio 37: Recompensa=16.40, Passos=19, Epsilon=0.683
Episódio 38: Recompensa=7.60, Passos=14, Epsilon=0.676
Episódio 39: Recompensa=16.60, Passos=18, Epsilon=0.669
Episódio 40: Recompensa=16.80, Passos=17, Epsilon=0.662
Episódio 41: Recompensa=4.80, Passos=28, Epsilon=0.656
Episódio 42: Recompensa=5.20, Passos=26, Epsilon=0.649
Episódio 43: Recompensa=-4.40, Passos=25, Epsilon=0.643
Episódio 44: Recompensa=-14.80, Passos=28, Epsilon=0.636
Episódio 45: Recompensa=17.60, Passos=13, Epsilon=0.630
Episódio 46: Recompensa=3.80, Passos=33, Epsilon=0.624
Episódio 47: Recompensa=17.40, Passos=14, Epsilon=0.617
Episódio 48: Recompensa=-23.80, Passos=24, Epsilon=0.611
Episódio 49: Recompensa=7.00, Passos=17, Epsilon=0.605
Episódio 50: Recompensa=6.40, Passos=20, Epsilon=0.599
Episódio 51: Recompensa=-46.20, Passos=38, Epsilon=0.593
Episódio 52: Recompensa=16.60, Passos=18, Epsilon=0.587
Episódio 53: Recompensa=-3.40, Passos=20, Epsilon=0.581
Episódio 54: Recompensa=5.00, Passos=27, Epsilon=0.575
Episódio 55: Recompensa=17.60, Passos=13, Epsilon=0.570
Episódio 56: Recompensa=7.60, Passos=14, Epsilon=0.564
Episódio 57: Recompensa=14.40, Passos=29, Epsilon=0.558
Episódio 58: Recompensa=7.20, Passos=16, Epsilon=0.553
Episódio 59: Recompensa=-22.60, Passos=18, Epsilon=0.547
Episódio 60: Recompensa=-4.00, Passos=23, Epsilon=0.542
Episódio 61: Recompensa=-3.00, Passos=18, Epsilon=0.536
Episódio 62: Recompensa=-4.40, Passos=25, Epsilon=0.531
Episódio 63: Recompensa=18.20, Passos=10, Epsilon=0.526
Episódio 64: Recompensa=7.60, Passos=14, Epsilon=0.520
Episódio 65: Recompensa=8.80, Passos=8, Epsilon=0.515
Episódio 66: Recompensa=18.60, Passos=8, Epsilon=0.510
Episódio 67: Recompensa=-2.00, Passos=13, Epsilon=0.505
Episódio 68: Recompensa=18.40, Passos=9, Epsilon=0.500
Episódio 69: Recompensa=14.40, Passos=29, Epsilon=0.495
Episódio 70: Recompensa=-2.80, Passos=17, Epsilon=0.490
Episódio 71: Recompensa=16.60, Passos=18, Epsilon=0.485
Episódio 72: Recompensa=17.20, Passos=15, Epsilon=0.480
Episódio 73: Recompensa=18.40, Passos=9, Epsilon=0.475
Episódio 74: Recompensa=15.20, Passos=25, Epsilon=0.471
Episódio 75: Recompensa=18.40, Passos=9, Epsilon=0.466
Episódio 76: Recompensa=6.80, Passos=18, Epsilon=0.461
Episódio 77: Recompensa=-13.80, Passos=23, Epsilon=0.457
Episódio 78: Recompensa=6.80, Passos=18, Epsilon=0.452
Episódio 79: Recompensa=7.00, Passos=17, Epsilon=0.448
Episódio 80: Recompensa=-14.60, Passos=27, Epsilon=0.443
Episódio 81: Recompensa=17.80, Passos=12, Epsilon=0.439
Episódio 82: Recompensa=17.20, Passos=15, Epsilon=0.434
Episódio 83: Recompensa=17.80, Passos=12, Epsilon=0.430
Episódio 84: Recompensa=-12.60, Passos=17, Epsilon=0.426
Episódio 85: Recompensa=17.80, Passos=12, Epsilon=0.421
Episódio 86: Recompensa=17.60, Passos=13, Epsilon=0.417
Episódio 87: Recompensa=17.20, Passos=15, Epsilon=0.413
Episódio 88: Recompensa=-23.80, Passos=24, Epsilon=0.409
Episódio 89: Recompensa=17.80, Passos=12, Epsilon=0.405
Episódio 90: Recompensa=7.40, Passos=15, Epsilon=0.401
Episódio 91: Recompensa=-23.40, Passos=22, Epsilon=0.397
